RESULT,SCORE,PATH
FAILURE,2,"middle,left,middle,left,left,right"
FAILURE,2,"middle,left,middle,left,middle,left"
FAILURE,2,"middle,left,middle,left,middle,middle"
FAILURE,2,"middle,left,middle,left,middle,right"
FAILURE,2,"middle,left,middle,left,right,left"
FAILURE,2,"middle,left,middle,left,right,middle"
FAILURE,2,"middle,left,middle,left,right,right"
FAILURE,2,"middle,left,middle,middle,left,left"
FAILURE,2,"middle,left,middle,middle,left,middle"
FAILURE,2,"middle,left,middle,middle,left,right"
FAILURE,2,"middle,left,middle,middle,middle,left"
FAILURE,2,"middle,left,middle,middle,middle,middle"
FAILURE,2,"middle,left,middle,middle,middle,right"
FAILURE,2,"middle,left,middle,middle,right,left"
FAILURE,2,"middle,left,middle,middle,right,middle"
FAILURE,2,"middle,left,middle,middle,right,right"
FAILURE,2,"middle,left,middle,right,left,left"
FAILURE,2,"middle,left,middle,right,left,middle"
FAILURE,2,"middle,left,middle,right,left,right"
FAILURE,2,"middle,left,middle,right,middle,left"
FAILURE,2,"middle,left,middle,right,middle,middle"
FAILURE,2,"middle,left,middle,right,middle,right"
FAILURE,2,"middle,left,middle,right,right,left"
FAILURE,2,"middle,left,middle,right,right,middle"
FAILURE,2,"middle,left,middle,right,right,right"
FAILURE,2,"middle,left,right,left,left,left"
FAILURE,2,"middle,left,right,left,left,middle"
FAILURE,2,"middle,left,right,left,left,right"
FAILURE,2,"middle,left,right,left,middle,left"
FAILURE,2,"middle,left,right,left,middle,middle"
FAILURE,2,"middle,left,right,left,middle,right"
FAILURE,2,"middle,left,right,left,right,left"
FAILURE,2,"middle,left,right,left,right,middle"
FAILURE,2,"middle,left,right,left,right,right"
FAILURE,2,"middle,left,right,middle,left,left"
FAILURE,2,"middle,left,right,middle,left,middle"
FAILURE,2,"middle,left,right,middle,left,right"
FAILURE,2,"middle,left,right,middle,middle,left"
FAILURE,2,"middle,left,right,middle,middle,middle"
FAILURE,2,"middle,left,right,middle,middle,right"
FAILURE,2,"middle,left,right,middle,right,left"
FAILURE,2,"middle,left,right,middle,right,middle"
FAILURE,2,"middle,left,right,middle,right,right"
FAILURE,2,"middle,left,right,right,left,left"
FAILURE,2,"middle,left,right,right,left,middle"
FAILURE,2,"middle,left,right,right,left,right"
FAILURE,2,"middle,left,right,right,middle,left"
FAILURE,2,"middle,left,right,right,middle,middle"
FAILURE,2,"middle,left,right,right,middle,right"
FAILURE,2,"middle,left,right,right,right,left"
FAILURE,2,"middle,left,right,right,right,middle"
FAILURE,2,"middle,left,right,right,right,right"
FAILURE,1,"middle,middle,left,left,left,left"
FAILURE,1,"middle,middle,left,left,left,middle"
FAILURE,1,"middle,middle,left,left,left,right"
FAILURE,1,"middle,middle,left,left,middle,left"
FAILURE,1,"middle,middle,left,left,middle,middle"
FAILURE,1,"middle,middle,left,left,middle,right"
FAILURE,1,"middle,middle,left,left,right,left"
FAILURE,1,"middle,middle,left,left,right,middle"
FAILURE,1,"middle,middle,left,left,right,right"
FAILURE,1,"middle,middle,left,middle,left,left"
FAILURE,1,"middle,middle,left,middle,left,middle"
FAILURE,1,"middle,middle,left,middle,left,right"
FAILURE,1,"middle,middle,left,middle,middle,left"
FAILURE,1,"middle,middle,left,middle,middle,middle"
FAILURE,1,"middle,middle,left,middle,middle,right"
FAILURE,1,"middle,middle,left,middle,right,left"
FAILURE,1,"middle,middle,left,middle,right,middle"
FAILURE,1,"middle,middle,left,middle,right,right"
FAILURE,1,"middle,middle,left,right,left,left"
FAILURE,1,"middle,middle,left,right,left,middle"
FAILURE,1,"middle,middle,left,right,left,right"
FAILURE,1,"middle,middle,left,right,middle,left"
FAILURE,1,"middle,middle,left,right,middle,middle"
FAILURE,1,"middle,middle,left,right,middle,right"
FAILURE,1,"middle,middle,left,right,right,left"
FAILURE,1,"middle,middle,left,right,right,middle"
FAILURE,1,"middle,middle,left,right,right,right"
FAILURE,1,"middle,middle,middle,left,left,left"
FAILURE,1,"middle,middle,middle,left,left,middle"
FAILURE,1,"middle,middle,middle,left,left,right"
FAILURE,1,"middle,middle,middle,left,middle,left"
FAILURE,1,"middle,middle,middle,left,middle,middle"
FAILURE,1,"middle,middle,middle,left,middle,right"
FAILURE,1,"middle,middle,middle,left,right,left"
FAILURE,1,"middle,middle,middle,left,right,middle"
FAILURE,1,"middle,middle,middle,left,right,right"
FAILURE,1,"middle,middle,middle,middle,left,left"
FAILURE,1,"middle,middle,middle,middle,left,middle"
FAILURE,1,"middle,middle,middle,middle,left,right"
FAILURE,1,"middle,middle,middle,middle,middle,left"
FAILURE,1,"middle,middle,middle,middle,middle,middle"
FAILURE,1,"middle,middle,middle,middle,middle,right"
FAILURE,1,"middle,middle,middle,middle,right,left"
FAILURE,1,"middle,middle,middle,middle,right,middle"
FAILURE,1,"middle,middle,middle,middle,right,right"
FAILURE,1,"middle,middle,middle,right,left,left"
FAILURE,1,"middle,middle,middle,right,left,middle"
FAILURE,1,"middle,middle,middle,right,left,right"
FAILURE,1,"middle,middle,middle,right,middle,left"
FAILURE,1,"middle,middle,middle,right,middle,middle"
FAILURE,1,"middle,middle,middle,right,middle,right"
FAILURE,1,"middle,middle,middle,right,right,left"
FAILURE,1,"middle,middle,middle,right,right,middle"
FAILURE,1,"middle,middle,middle,right,right,right"
FAILURE,1,"middle,middle,right,left,left,left"
FAILURE,1,"middle,middle,right,left,left,middle"
FAILURE,1,"middle,middle,right,left,left,right"
FAILURE,1,"middle,middle,right,left,middle,left"
FAILURE,1,"middle,middle,right,left,middle,middle"
FAILURE,1,"middle,middle,right,left,middle,right"
FAILURE,1,"middle,middle,right,left,right,left"
FAILURE,1,"middle,middle,right,left,right,middle"
FAILURE,1,"middle,middle,right,left,right,right"
FAILURE,1,"middle,middle,right,middle,left,left"
FAILURE,1,"middle,middle,right,middle,left,middle"
FAILURE,1,"middle,middle,right,middle,left,right"
FAILURE,1,"middle,middle,right,middle,middle,left"
FAILURE,1,"middle,middle,right,middle,middle,middle"
FAILURE,1,"middle,middle,right,middle,middle,right"
FAILURE,1,"middle,middle,right,middle,right,left"
FAILURE,1,"middle,middle,right,middle,right,middle"
FAILURE,1,"middle,middle,right,middle,right,right"
FAILURE,1,"middle,middle,right,right,left,left"
FAILURE,1,"middle,middle,right,right,left,middle"
FAILURE,1,"middle,middle,right,right,left,right"
FAILURE,1,"middle,middle,right,right,middle,left"
FAILURE,1,"middle,middle,right,right,middle,middle"
FAILURE,1,"middle,middle,right,right,middle,right"
FAILURE,1,"middle,middle,right,right,right,left"
FAILURE,1,"middle,middle,right,right,right,middle"
FAILURE,1,"middle,middle,right,right,right,right"
FAILURE,1,"middle,right,left,left,left,left"
FAILURE,1,"middle,right,left,left,left,middle"
FAILURE,1,"middle,right,left,left,left,right"
FAILURE,1,"middle,right,left,left,middle,left"
FAILURE,1,"middle,right,left,left,middle,middle"
FAILURE,1,"middle,right,left,left,middle,right"
FAILURE,1,"middle,right,left,left,right,left"
FAILURE,1,"middle,right,left,left,right,middle"
FAILURE,1,"middle,right,left,left,right,right"
FAILURE,1,"middle,right,left,middle,left,left"
FAILURE,1,"middle,right,left,middle,left,middle"
FAILURE,1,"middle,right,left,middle,left,right"
FAILURE,1,"middle,right,left,middle,middle,left"
FAILURE,1,"middle,right,left,middle,middle,middle"
FAILURE,1,"middle,right,left,middle,middle,right"
FAILURE,1,"middle,right,left,middle,right,left"
FAILURE,1,"middle,right,left,middle,right,middle"
FAILURE,1,"middle,right,left,middle,right,right"
FAILURE,1,"middle,right,left,right,left,left"
FAILURE,1,"middle,right,left,right,left,middle"
FAILURE,1,"middle,right,left,right,left,right"
FAILURE,1,"middle,right,left,right,middle,left"
FAILURE,1,"middle,right,left,right,middle,middle"
FAILURE,1,"middle,right,left,right,middle,right"
FAILURE,1,"middle,right,left,right,right,left"
FAILURE,1,"middle,right,left,right,right,middle"
FAILURE,1,"middle,right,left,right,right,right"
FAILURE,1,"middle,right,middle,left,left,left"
FAILURE,1,"middle,right,middle,left,left,middle"
FAILURE,1,"middle,right,middle,left,left,right"
FAILURE,1,"middle,right,middle,left,middle,left"
FAILURE,1,"middle,right,middle,left,middle,middle"
FAILURE,1,"middle,right,middle,left,middle,right"
FAILURE,1,"middle,right,middle,left,right,left"
FAILURE,1,"middle,right,middle,left,right,middle"
FAILURE,1,"middle,right,middle,left,right,right"
FAILURE,1,"middle,right,middle,middle,left,left"
FAILURE,1,"middle,right,middle,middle,left,middle"
FAILURE,1,"middle,right,middle,middle,left,right"
FAILURE,1,"middle,right,middle,middle,middle,left"
FAILURE,1,"middle,right,middle,middle,middle,middle"
FAILURE,1,"middle,right,middle,middle,middle,right"
FAILURE,1,"middle,right,middle,middle,right,left"
FAILURE,1,"middle,right,middle,middle,right,middle"
FAILURE,1,"middle,right,middle,middle,right,right"
FAILURE,1,"middle,right,middle,right,left,left"
FAILURE,1,"middle,right,middle,right,left,middle"
FAILURE,1,"middle,right,middle,right,left,right"
FAILURE,1,"middle,right,middle,right,middle,left"
FAILURE,1,"middle,right,middle,right,middle,middle"
FAILURE,1,"middle,right,middle,right,middle,right"
FAILURE,1,"middle,right,middle,right,right,left"
FAILURE,1,"middle,right,middle,right,right,middle"
FAILURE,1,"middle,right,middle,right,right,right"
FAILURE,1,"middle,right,right,left,left,left"
FAILURE,1,"middle,right,right,left,left,middle"
FAILURE,1,"middle,right,right,left,left,right"
FAILURE,1,"middle,right,right,left,middle,left"
FAILURE,1,"middle,right,right,left,middle,middle"
FAILURE,1,"middle,right,right,left,middle,right"
FAILURE,1,"middle,right,right,left,right,left"
FAILURE,1,"middle,right,right,left,right,middle"
FAILURE,1,"middle,right,right,left,right,right"
FAILURE,1,"middle,right,right,middle,left,left"
FAILURE,1,"middle,right,right,middle,left,middle"
FAILURE,1,"middle,right,right,middle,left,right"
FAILURE,1,"middle,right,right,middle,middle,left"
FAILURE,1,"middle,right,right,middle,middle,middle"
FAILURE,1,"middle,right,right,middle,middle,right"
FAILURE,1,"middle,right,right,middle,right,left"
FAILURE,1,"middle,right,right,middle,right,middle"
FAILURE,1,"middle,right,right,middle,right,right"
FAILURE,1,"middle,right,right,right,left,left"
FAILURE,1,"middle,right,right,right,left,middle"
FAILURE,1,"middle,right,right,right,left,right"
FAILURE,1,"middle,right,right,right,middle,left"
FAILURE,1,"middle,right,right,right,middle,middle"
FAILURE,1,"middle,right,right,right,middle,right"
FAILURE,1,"middle,right,right,right,right,left"
FAILURE,1,"middle,right,right,right,right,middle"
FAILURE,1,"middle,right,right,right,right,right"
FAILURE,6,"right,left,left,left,left,left"
FAILURE,5,"right,left,left,left,left,middle"
FAILURE,5,"right,left,left,left,left,right"
FAILURE,4,"right,left,left,left,middle,left"
FAILURE,4,"right,left,left,left,middle,middle"
FAILURE,4,"right,left,left,left,middle,right"
FAILURE,4,"right,left,left,left,right,left"
FAILURE,4,"right,left,left,left,right,middle"
FAILURE,4,"right,left,left,left,right,right"
FAILURE,6,"right,left,left,middle,left,left"
FAILURE,5,"right,left,left,middle,left,middle"
FAILURE,5,"right,left,left,middle,left,right"
FAILURE,4,"right,left,left,middle,middle,left"
FAILURE,4,"right,left,left,middle,middle,middle"
FAILURE,4,"right,left,left,middle,middle,right"
FAILURE,4,"right,left,left,middle,right,left"
FAILURE,4,"right,left,left,middle,right,middle"
FAILURE,4,"right,left,left,middle,right,right"
FAILURE,6,"right,left,left,right,left,left"
FAILURE,5,"right,left,left,right,left,middle"
FAILURE,5,"right,left,left,right,left,right"
FAILURE,4,"right,left,left,right,middle,left"
FAILURE,4,"right,left,left,right,middle,middle"
FAILURE,4,"right,left,left,right,middle,right"
FAILURE,4,"right,left,left,right,right,left"
FAILURE,4,"right,left,left,right,right,middle"
FAILURE,4,"right,left,left,right,right,right"
FAILURE,2,"right,left,middle,left,left,left"
FAILURE,2,"right,left,middle,left,left,middle"
FAILURE,2,"right,left,middle,left,left,right"
FAILURE,2,"right,left,middle,left,middle,left"
FAILURE,2,"right,left,middle,left,middle,middle"
FAILURE,2,"right,left,middle,left,middle,right"
FAILURE,2,"right,left,middle,left,right,left"
FAILURE,2,"right,left,middle,left,right,middle"
FAILURE,2,"right,left,middle,left,right,right"
FAILURE,2,"right,left,middle,middle,left,left"
FAILURE,2,"right,left,middle,middle,left,middle"
FAILURE,2,"right,left,middle,middle,left,right"
FAILURE,2,"right,left,middle,middle,middle,left"
FAILURE,2,"right,left,middle,middle,middle,middle"
FAILURE,2,"right,left,middle,middle,middle,right"
FAILURE,2,"right,left,middle,middle,right,left"
FAILURE,2,"right,left,middle,middle,right,middle"
FAILURE,2,"right,left,middle,middle,right,right"
FAILURE,2,"right,left,middle,right,left,left"
FAILURE,2,"right,left,middle,right,left,middle"
FAILURE,2,"right,left,middle,right,left,right"
FAILURE,2,"right,left,middle,right,middle,left"
FAILURE,2,"right,left,middle,right,middle,middle"
FAILURE,2,"right,left,middle,right,middle,right"
FAILURE,2,"right,left,middle,right,right,left"
FAILURE,2,"right,left,middle,right,right,middle"
FAILURE,2,"right,left,middle,right,right,right"
FAILURE,2,"right,left,right,left,left,left"
FAILURE,2,"right,left,right,left,left,middle"
FAILURE,2,"right,left,right,left,left,right"
FAILURE,2,"right,left,right,left,middle,left"
FAILURE,2,"right,left,right,left,middle,middle"
FAILURE,2,"right,left,right,left,middle,right"
FAILURE,2,"right,left,right,left,right,left"
FAILURE,2,"right,left,right,left,right,middle"
FAILURE,2,"right,left,right,left,right,right"
FAILURE,2,"right,left,right,middle,left,left"
FAILURE,2,"right,left,right,middle,left,middle"
FAILURE,2,"right,left,right,middle,left,right"
FAILURE,2,"right,left,right,middle,middle,left"
FAILURE,2,"right,left,right,middle,middle,middle"
FAILURE,2,"right,left,right,middle,middle,right"
FAILURE,2,"right,left,right,middle,right,left"
FAILURE,2,"right,left,right,middle,right,middle"
FAILURE,2,"right,left,right,middle,right,right"
FAILURE,2,"right,left,right,right,left,left"
FAILURE,2,"right,left,right,right,left,middle"
FAILURE,2,"right,left,right,right,left,right"
FAILURE,2,"right,left,right,right,middle,left"
FAILURE,2,"right,left,right,right,middle,middle"
FAILURE,2,"right,left,right,right,middle,right"
FAILURE,2,"right,left,right,right,right,left"
FAILURE,2,"right,left,right,right,right,middle"
FAILURE,2,"right,left,right,right,right,right"
FAILURE,1,"right,middle,left,left,left,left"
FAILURE,1,"right,middle,left,left,left,middle"
FAILURE,1,"right,middle,left,left,left,right"
FAILURE,1,"right,middle,left,left,middle,left"
FAILURE,1,"right,middle,left,left,middle,middle"
FAILURE,1,"right,middle,left,left,middle,right"
FAILURE,1,"right,middle,left,left,right,left"
FAILURE,1,"right,middle,left,left,right,middle"
FAILURE,1,"right,middle,left,left,right,right"
FAILURE,1,"right,middle,left,middle,left,left"
FAILURE,1,"right,middle,left,middle,left,middle"
FAILURE,1,"right,middle,left,middle,left,right"
FAILURE,1,"right,middle,left,middle,middle,left"
FAILURE,1,"right,middle,left,middle,middle,middle"
FAILURE,1,"right,middle,left,middle,middle,right"
FAILURE,1,"right,middle,left,middle,right,left"
FAILURE,1,"right,middle,left,middle,right,middle"
FAILURE,1,"right,middle,left,middle,right,right"
FAILURE,1,"right,middle,left,right,left,left"
FAILURE,1,"right,middle,left,right,left,middle"
FAILURE,1,"right,middle,left,right,left,right"
FAILURE,1,"right,middle,left,right,middle,left"
FAILURE,1,"right,middle,left,right,middle,middle"
FAILURE,1,"right,middle,left,right,middle,right"
FAILURE,1,"right,middle,left,right,right,left"
FAILURE,1,"right,middle,left,right,right,middle"
FAILURE,1,"right,middle,left,right,right,right"
FAILURE,1,"right,middle,middle,left,left,left"
FAILURE,1,"right,middle,middle,left,left,middle"
FAILURE,1,"right,middle,middle,left,left,right"
FAILURE,1,"right,middle,middle,left,middle,left"
FAILURE,1,"right,middle,middle,left,middle,middle"
FAILURE,1,"right,middle,middle,left,middle,right"
FAILURE,1,"right,middle,middle,left,right,left"
FAILURE,1,"right,middle,middle,left,right,middle"
FAILURE,1,"right,middle,middle,left,right,right"
FAILURE,1,"right,middle,middle,middle,left,left"
FAILURE,1,"right,middle,middle,middle,left,middle"
FAILURE,1,"right,middle,middle,middle,left,right"
FAILURE,1,"right,middle,middle,middle,middle,left"
FAILURE,1,"right,middle,middle,middle,middle,middle"
FAILURE,1,"right,middle,middle,middle,middle,right"
FAILURE,1,"right,middle,middle,middle,right,left"
FAILURE,1,"right,middle,middle,middle,right,middle"
FAILURE,1,"right,middle,middle,middle,right,right"
FAILURE,1,"right,middle,middle,right,left,left"
FAILURE,1,"right,middle,middle,right,left,middle"
FAILURE,1,"right,middle,middle,right,left,right"
FAILURE,1,"right,middle,middle,right,middle,left"
FAILURE,1,"right,middle,middle,right,middle,middle"
FAILURE,1,"right,middle,middle,right,middle,right"
FAILURE,1,"right,middle,middle,right,right,left"
FAILURE,1,"right,middle,middle,right,right,middle"
FAILURE,1,"right,middle,middle,right,right,right"
FAILURE,1,"right,middle,right,left,left,left"
FAILURE,1,"right,middle,right,left,left,middle"
FAILURE,1,"right,middle,right,left,left,right"
FAILURE,1,"right,middle,right,left,middle,left"
FAILURE,1,"right,middle,right,left,middle,middle"
FAILURE,1,"right,middle,right,left,middle,right"
FAILURE,1,"right,middle,right,left,right,left"
FAILURE,1,"right,middle,right,left,right,middle"
FAILURE,1,"right,middle,right,left,right,right"
FAILURE,1,"right,middle,right,middle,left,left"
FAILURE,1,"right,middle,right,middle,left,middle"
FAILURE,1,"right,middle,right,middle,left,right"
FAILURE,1,"right,middle,right,middle,middle,left"
FAILURE,1,"right,middle,right,middle,middle,middle"
FAILURE,1,"right,middle,right,middle,middle,right"
FAILURE,1,"right,middle,right,middle,right,left"
FAILURE,1,"right,middle,right,middle,right,middle"
FAILURE,1,"right,middle,right,middle,right,right"
FAILURE,1,"right,middle,right,right,left,left"
FAILURE,1,"right,middle,right,right,left,middle"
FAILURE,1,"right,middle,right,right,left,right"
